density	Prop1	Prop2	Prop3
2.2610782	0.64	20.02766667	2245.56655
2.2936906	0.5776	20.05925898	2258.500392
2.3280196	0.5184	20.09085129	2271.815509
2.3546284	0.4624	20.12244359	2285.532619
2.362	0.4096	20.1540359	2299.674112
2.3933672	0.36	20.18562821	2314.26422
2.447768	0.3136	20.21722052	2329.329229
2.5080902	0.2704	20.24881283	2344.897707
2.275025	0.5776	19.52426667	2259.828141
2.2770712	0.5184	19.02086667	2274.554433
2.2623468	0.4096	18.01406667	2305.515568
2.2690386	0.36	17.51066667	2321.814188
2.2565456	0.3136	17.00726667	2338.705712
2.287342	0.2704	16.50386667	2356.230129
2.2903498	0.5776	20.59621	2259.825548
2.2845122	0.5184	21.16475333	2274.549075
2.3134422	0.4624	21.73329667	2289.765104
2.294113	0.4096	22.30184	2305.504103
2.3765802	0.36	22.87038333	2321.799343
2.4165252	0.3136	23.43892667	2338.68724
2.4986314	0.2704	24.00747	2356.207759
2.3381116	0.59734559	20.29937288	2250.285055
2.3878364	0.554768133	20.58044828	2255.21889
2.4210134	0.512354571	20.87138596	2260.383327
2.5044226	0.470204082	21.17271429	2265.795138
2.5754218	0.428429752	21.485	2271.472784
2.618859	0.387160494	21.80885185	2277.436632
2.6702044	0.346543254	22.14492453	2283.709214
2.3719254	0.59734559	21.10501695	2250.347503
2.5377544	0.554768133	22.21951724	2255.347346
2.63884	0.512354571	23.37312281	2260.581662
2.749301	0.470204082	24.56792857	2266.067568
2.9324918	0.428429752	25.80618182	2271.823909
3.0521654	0.387160494	27.0902963	2277.871487
3.1895766	0.346543254	28.42286792	2284.233326
1.9693222	0.540936524	20.05704963	2250.105767
2.2710978	0.455625	20.08459616	2254.403274
2.3633954	0.38214876	20.1104732	2258.477985
2.44	0.318892734	20.13482806	2262.34688
2.4710146	0.264489796	20.15779121	2266.025247
2.5397842	0.217777778	20.17947864	2269.52689
2.608971	0.177764792	20.19999377	2272.864305
2.5314824	0.540936524	22.05460774	2250.126143
2.7928438	0.455625	23.954865	2254.443131
3.0287254	0.38214876	25.73995515	2258.536486
3.2803976	0.318892734	27.42004	2262.423239
3.4669978	0.264489796	29.00412	2266.118727
3.6942024	0.217777778	30.50019556	2269.636797
3.8233958	0.177764792	31.91540216	2272.989986
2.6614424	0.540936524	23.66749903	2248.852328
3.0202452	0.455625	27.07984188	2251.954701
3.4050816	0.38214876	30.28537606	2254.888647
3.691164	0.318892734	33.30234941	2257.667555
4.005178	0.264489796	36.14692429	2260.303426
4.300403	0.217777778	38.83346722	2262.807052
4.5046994	0.177764792	41.37479162	2265.188164
2.7018696	0.540936524	23.70654839	2250.099945
3.0847404	0.455625	27.1555	2254.391886
3.4466562	0.38214876	30.39542424	2258.46127
3.7966818	0.318892734	33.44476471	2262.325062
4.1281932	0.264489796	36.31985714	2265.998538
4.4400642	0.217777778	39.03522222	2269.495489
4.70893	0.177764792	41.60381081	2272.828397
2.3524782	0.4096	21.22793795	2302.579882
2.3636464	0.4096	20.69098693	2301.124704
2.40240525	0.36	22.33343231	2320.282492
2.3949582	0.36	21.79648129	2318.770583
2.3991972	0.36	21.25953026	2317.263587
2.4089898	0.36	20.72257924	2315.761476
2.4358928	0.3136	22.90197564	2337.114492
2.4537946	0.3136	22.36502462	2335.547017
2.47773	0.3136	21.82807359	2333.984785
2.4551806	0.3136	21.29112257	2332.427763
2.4364956	0.3136	20.75417155	2330.875922
2.5209532	0.2704	23.47051898	2354.575292
2.4841742	0.2704	22.93356795	2352.948465
2.503791	0.2704	22.39661693	2351.327242
2.5037866	0.2704	21.8596659	2349.711589
2.4986004	0.2704	21.32271488	2348.101471
2.5044356	0.2704	20.78576386	2346.496855
2.3021482	0.5184	19.55585898	2273.182908
2.2965724	0.4624	19.05245898	2288.355444
2.3155172	0.4624	19.58745129	2286.941854
2.2842084	0.4096	18.54905898	2304.048244
2.341531	0.4096	19.08405129	2302.585578
2.3511836	0.4096	19.61904359	2301.127543
